client,street,city,zip,sales_2017,sales_2018,address,tier,sales_potential,trend,h1_2018,h1_2019,lat,lon,account_owner,inpex_mah
Client example 1,,,,,187,example address 1,,,Extreme Loss (-50+),57,,34.6196,-120.241562,Owner example 1,type 1
Client example 2,,,,,"9,230",example address 2,Tier 4,,Major Growth (20 to 49),"4,159","5,541",34.6232288,-120.1862836,Owner example 2,type 1
Client example 3,,,,,,example address 3,,,,,,34.4243011,-119.8770457,Owner example 3,type 2
Client example 4,,,,2893,874,example address 4,,Moderate,Extreme Growth (50+),452,"1,554",34.4383949,-119.8139444,Owner example 4,type 2
Client example 5,,,,,770,example address 5,,,Extreme Loss (-50+),249,,34.439193,-119.813944,Owner example 5,type 1
Client example 6,,,,,,example address 6,,,,,,34.439193,-119.813944,Owner example 6,type 2
Client example 7,,,,,390,example address 7,Tier 4,,Extreme Loss (-50+),"3,448",200,34.439193,-119.813944,Owner example 7,type 1
Client example 8,,,,,"13,070",example address 8,Tier 3,,Extreme Loss (-50+),"8,719","3,894",34.439193,-119.813944,Owner example 8,type 1
Client example 9,,,,,281,example address 9,Tier 3,,Moderate Loss (-19 to -5),"23,363","19,933",34.4396249,-119.8126915,Owner example 9,type 1
Client example 10,,,,10310,"8,871",example address 10,Tier 4,Low,Major Loss (-49 to -20),"3,075","2,271",34.4446368,-119.2365732,Owner example 10,type 2
Client example 11,,,,,"46,774",example address 11,Tier 3,,Moderate Growth (5 to 19),"21,690","23,979",34.1652138,-119.2102834,Owner example 11,type 1
Client example 12,,,,,776,example address 12,Tier 1,,Moderate Growth (5 to 19),"70,224","77,260",34.227073,-119.176144,Owner example 12,type 1
Client example 13,,,,2388,140,example address 13,,High,Extreme Growth (50+),,320,34.1613751,-119.163436,Owner example 13,type 2
Client example 14,,,,,129,example address 14,,,Extreme Loss (-50+),249,,34.2092912,-119.08549,Owner example 14,type 1
Client example 15,,,,,133,example address 15,Tier 1,,Moderate Loss (-19 to -5),"47,368","40,209",34.2092912,-119.08549,Owner example 15,type 1
Client example 16,,,,259,"1,165",example address 16,Tier 4,Moderate,Extreme Growth (50+),319,"1,441",34.3539926,-119.0665944,Owner example 16,type 2
Client example 17,,,,,,example address 17,,,,,,34.1811233,-118.8021861,Owner example 17,type 2
Client example 18,,,,182,174,example address 18,,,Extreme Loss (-50+),49,,34.1476625,-118.7841885,Owner example 18,type 2
